1   #Number of Readers/Reads (Primary read is first)

238   #Number of Individuals


#SAMPLE   TL   Reads
1 113 0.025
2 128 0.025
3 140 0.025
4 158 0.025
5 232 2
6 247 1.5
7 286 1
8 289 1.5
9 290 4
10 294 2
11 295 2
12 298 2.5
13 299 5
14 299 5
15 300 4.5
16 301 2
17 302 2
18 302 4
19 307 4
20 308 1.5
21 309 1.5
22 309 2.5
23 309 5
24 311 2
25 311 2
26 313 5
27 315 2
28 315 3.5
29 315 3.5
30 317 5
31 318 2
32 318 1.5
33 318 3
34 318 3.5
35 319 5.5
36 320 2
37 320 2.5
38 320 5
39 321 3
40 321 2
41 321 3.5
42 321 3.5
43 322 3
44 323 2.5
45 323 3
46 324 2
47 324 2.5
48 325 3.5
49 326 2
50 326 3
51 328 3.5
52 329 3.5
53 330 3.5
54 331 4.5
55 332 5
56 334 2.5
57 336 2
58 336 2.5
59 336 4
60 337 3
61 338 3
62 339 2
63 339 3
64 341 2.5
65 341 3
66 341 4
67 342 2
68 343 4
69 343 5
70 344 3
71 344 4
72 344 3.5
73 344 4
74 344 4.5
75 345 2.5
76 345 4.5
77 346 4
78 346 5.5
79 349 2.5
80 349 4.5
81 349 5
82 350 4
83 351 3
84 351 6.5
85 353 3.5
86 354 4.5
87 355 2
88 355 2
89 355 4.5
90 356 2
91 356 4
92 356 5
93 357 3.5
94 357 3.5
95 357 6
96 358 3
97 358 4.5
98 360 2
99 360 3
100 360 3
101 360 3
102 360 5
103 361 2
104 361 4
105 364 4
106 365 3
107 365 4
108 365 5
109 365 5
110 365 4.5
111 365 5.5
112 365 5
113 366 3
114 366 5.5
115 368 5.5
116 370 2
117 370 3
118 370 6
119 370 6
120 371 6.5
121 372 3
122 373 4
123 373 4
124 375 5
125 375 4.5
126 376 5
127 377 4.5
128 378 4
129 378 4.5
130 378 7.5
131 379 4.5
132 380 6
133 381 3
134 381 3
135 381 3
136 381 5
137 381 3.5
138 381 4
139 381 6
140 382 6
141 383 7
142 384 6.5
143 386 6
144 387 3
145 388 5
146 389 5.5
147 390 5
148 390 5
149 390 4.5
150 390 5
151 390 6
152 392 3.5
153 392 4
154 392 5
155 393 5.5
156 394 4.5
157 394 4
158 394 5.5
159 395 3
160 395 4
161 395 7.5
162 395 8.5
163 398 8
164 399 4.5
165 400 2.5
166 400 3
167 401 3
168 401 3
169 401 7.5
170 401 7.5
171 402 3.5
172 402 4.5
173 403 3
174 404 6
175 405 3.5
176 406 7
177 410 6
178 410 5
179 410 7
180 410 8
181 410 8
182 411 6
183 413 6.5
184 416 8
185 417 4.5
186 417 7
187 418 4
188 418 7.5
189 420 7.5
190 420 8
191 421 5
192 421 5.5
193 421 7.5
194 424 4
195 425 6.5
196 426 3
197 426 6
198 427 6
199 429 5
200 430 10
201 432 8.5
202 433 10.5
203 436 6
204 436 10
205 437 5
206 438 4.5
207 440 5
208 440 5
209 441 5.5
210 443 9
211 443 11.5
212 444 3
213 446 6.5
214 446 10.5
215 447 3
216 450 6.5
217 451 8
218 453 10
219 454 6
220 454 6.5
221 457 7.5
222 460 5.5
223 460 9
224 462 7.5
225 465 3
226 471 6
227 473 5
228 473 6
229 476 6.5
230 478 5
231 478 8.5
232 480 12.5
233 484 6
234 485 9
235 495 6.5
236 498 7
237 500 9.5
238 518 10
