2   #Number of Readers/Reads (Primary read is first)

238   #Number of Individuals


#SAMPLE   TL   Reads
1 113 0.025 0.025
2 128 0.025 0.025
3 140 0.025 0.025
4 158 0.025 0.025
5 232 2 2
6 247 1 2
7 286 1 1
8 289 1 2
9 290 5 3
10 294 2 2
11 295 2 2
12 298 3 2
13 299 5 5
14 299 7 3
15 300 5 4
16 301 2 2
17 302 2 2
18 302 4 4
19 307 4 4
20 308 1 2
21 309 1 2
22 309 2 3
23 309 5 5
24 311 2 2
25 311 3 1
26 313 5 5
27 315 2 2
28 315 4 3
29 315 4 3
30 317 5 5
31 318 2 2
32 318 2 1
33 318 3 3
34 318 4 3
35 319 7 4
36 320 2 2
37 320 3 2
38 320 5 5
39 321 2 4
40 321 2 2
41 321 3 4
42 321 3 4
43 322 3 3
44 323 2 3
45 323 3 3
46 324 2 2
47 324 3 2
48 325 4 3
49 326 2 2
50 326 3 3
51 328 4 3
52 329 5 2
53 330 4 3
54 331 4 5
55 332 5 5
56 334 3 2
57 336 2 2
58 336 3 2
59 336 4 4
60 337 3 3
61 338 3 3
62 339 2 2
63 339 3 3
64 341 2 3
65 341 3 3
66 341 4 4
67 342 2 2
68 343 4 4
69 343 5 5
70 344 3 3
71 344 4 4
72 344 4 3
73 344 4 4
74 344 5 4
75 345 3 2
76 345 4 5
77 346 4 4
78 346 5 6
79 349 2 3
80 349 5 4
81 349 5 5
82 350 5 3
83 351 3 3
84 351 7 6
85 353 3 4
86 354 4 5
87 355 1 3
88 355 2 2
89 355 5 4
90 356 2 2
91 356 4 4
92 356 6 4
93 357 3 4
94 357 4 3
95 357 6 6
96 358 3 3
97 358 5 4
98 360 2 2
99 360 2 4
100 360 3 3
101 360 3 3
102 360 5 5
103 361 2 2
104 361 4 4
105 364 4 4
106 365 3 3
107 365 4 4
108 365 5 5
109 365 5 5
110 365 5 4
111 365 6 5
112 365 7 3
113 366 3 3
114 366 6 5
115 368 5 6
116 370 2 2
117 370 3 3
118 370 6 6
119 370 6 6
120 371 7 6
121 372 3 3
122 373 4 4
123 373 4 4
124 375 5 5
125 375 5 4
126 376 5 5
127 377 4 5
128 378 4 4
129 378 5 4
130 378 9 6
131 379 5 4
132 380 6 6
133 381 3 3
134 381 3 3
135 381 3 3
136 381 4 6
137 381 4 3
138 381 4 4
139 381 6 6
140 382 6 6
141 383 7 7
142 384 7 6
143 386 6 6
144 387 3 3
145 388 5 5
146 389 5 6
147 390 5 5
148 390 5 5
149 390 5 4
150 390 5 5
151 390 6 6
152 392 4 3
153 392 4 4
154 392 5 5
155 393 5 6
156 394 4 5
157 394 4 4
158 394 5 6
159 395 3 3
160 395 4 4
161 395 6 9
162 395 8 9
163 398 8 8
164 399 5 4
165 400 2 3
166 400 3 3
167 401 3 3
168 401 3 3
169 401 7 8
170 401 8 7
171 402 4 3
172 402 5 4
173 403 3 3
174 404 6 6
175 405 4 3
176 406 8 6
177 410 5 7
178 410 5 5
179 410 6 8
180 410 8 8
181 410 8 8
182 411 5 7
183 413 6 7
184 416 8 8
185 417 4 5
186 417 8 6
187 418 4 4
188 418 7 8
189 420 7 8
190 420 7 9
191 421 4 6
192 421 5 6
193 421 7 8
194 424 4 4
195 425 7 6
196 426 3 3
197 426 6 6
198 427 6 6
199 429 5 5
200 430 10 10
201 432 7 10
202 433 10 11
203 436 6 6
204 436 10 10
205 437 5 5
206 438 5 4
207 440 5 5
208 440 5 5
209 441 6 5
210 443 9 9
211 443 11 12
212 444 3 3
213 446 6 7
214 446 10 11
215 447 3 3
216 450 7 6
217 451 8 8
218 453 9 11
219 454 5 7
220 454 7 6
221 457 7 8
222 460 6 5
223 460 8 10
224 462 7 8
225 465 3 3
226 471 6 6
227 473 4 6
228 473 6 6
229 476 6 7
230 478 5 5
231 478 8 9
232 480 13 12
233 484 6 6
234 485 9 9
235 495 6 7
236 498 7 7
237 500 8 11
238 518 10 10
