"Sample","Area","Sex","Length","Read1","Read2","Read3","Read4","Read5","Read6","Read7"
1,"C","F",28,10,10,10,10,10,10,10
2,"A","F",22,9,9,9,9,9,9,9
3,"E","F",7,3,3,3,3,3,3,3
4,"C","F",4,2,2,2,2,2,2,2
5,"E","F",7,3,3,3,3,3,3,3
6,"D","F",11,6,6,6,6,6,6,6
7,"E","M",3,1,1,1,1,1,1,1
8,"A","F",6,3,3,3,3,3,3,3
9,"A","F",16,8,8,8,8,8,8,8
10,"B","F",17,8,8,8,8,8,8,8
11,"A","F",5,2,2,2,2,2,2,2
12,"A","F",4,0,0,1,0,0,0,-1
13,"B","F",17,8,8,9,8,8,8,8
14,"B","F",22,9,9,9,10,9,9,9
15,"E","M",5,2,2,2,2,2,2,2
16,"A","F",13,7,7,7,7,7,7,7
17,"B","M",27,10,10,10,10,10,10,10
18,"E","F",9,5,5,5,5,5,5,5
19,"E","F",3,1,1,1,1,1,1,1
20,"E","M",5,1,1,1,1,1,1,1
21,"C","M",8,5,5,6,5,5,5,5
22,"E","F",21,9,9,9,9,9,9,9
23,"D","M",22,9,9,9,9,9,9,9
24,"C","M",6,3,3,3,3,3,3,3
25,"C","M",14,7,7,7,7,7,7,7
26,"D","M",6,4,4,4,4,4,4,4
27,"A","M",5,2,2,2,2,2,2,2
28,"C","M",4,0,0,0,0,0,0,0
29,"C","M",13,7,7,7,7,7,7,7
30,"D","F",8,5,5,5,5,5,5,5
31,"D","M",6,4,5,4,4,4,4,4
32,"B","F",17,8,8,8,8,8,8,8
33,"B","F",6,1,1,1,1,1,1,1
34,"E","F",21,9,9,9,9,9,9,9
35,"D","M",9,6,6,6,6,6,6,6
36,"D","F",9,5,5,4,5,5,5,5
37,"E","M",10,6,6,6,6,6,6,6
38,"C","M",13,7,7,7,7,7,7,7
39,"E","F",5,3,3,3,3,3,3,3
40,"C","M",8,5,5,5,5,5,5,5
41,"C","F",21,9,9,9,9,9,9,9
42,"A","F",13,7,7,7,7,7,7,7
43,"C","M",4,0,0,0,0,0,0,0
44,"B","M",9,5,5,5,5,5,5,5
45,"C","M",8,5,5,5,5,5,5,5
46,"A","F",22,9,8,9,9,9,9,9
47,"B","F",10,5,5,5,5,5,5,5
48,"B","M",4,2,2,2,2,2,2,2
49,"C","F",4,2,2,2,2,2,2,2
50,"B","F",14,7,7,7,7,7,7,7
51,"C","F",8,4,4,4,4,4,4,4
52,"B","M",7,4,4,4,4,4,4,4
53,"C","F",7,4,4,4,4,4,4,4
54,"C","F",7,3,3,3,3,3,3,3
55,"C","M",27,10,10,10,10,10,10,10
56,"B","F",4,1,1,1,1,1,1,1
57,"A","M",4,0,0,0,0,0,0,0
58,"A","M",5,3,3,3,3,3,3,3
59,"E","M",17,8,8,8,8,8,8,8
60,"A","M",11,6,6,6,6,6,6,6
61,"D","F",13,7,7,8,7,7,7,7
62,"E","M",11,6,6,6,6,6,6,6
63,"C","M",5,2,2,2,2,2,2,2
64,"A","F",7,4,4,4,4,4,4,4
65,"D","M",7,4,4,4,4,4,4,4
66,"A","F",8,5,5,5,5,5,5,5
67,"C","M",8,5,5,5,5,5,5,5
68,"A","M",5,1,1,1,1,1,1,1
69,"A","M",22,9,9,9,9,9,9,9
70,"C","M",3,0,0,0,0,0,0,0
71,"D","F",14,7,7,7,7,7,7,7
72,"D","M",4,2,2,2,2,2,2,2
73,"C","F",8,4,4,4,4,4,4,4
74,"A","M",11,6,6,6,6,6,6,6
75,"B","F",22,9,9,9,9,9,9,9
76,"C","F",5,2,2,2,2,2,2,2
77,"A","M",22,9,9,9,9,9,9,9
78,"B","M",5,2,2,2,2,2,2,2
79,"E","F",22,9,9,9,9,9,9,9
80,"D","M",28,10,10,11,10,10,10,10
81,"D","F",6,3,3,3,3,3,3,3
82,"B","M",21,9,9,9,9,9,9,9
83,"A","F",5,3,3,3,3,3,3,3
84,"C","F",6,3,3,3,3,3,3,3
85,"A","M",7,4,4,4,4,4,4,4
86,"D","M",9,5,5,5,5,5,5,5
87,"E","M",11,6,6,6,6,6,6,6
88,"B","M",8,5,5,5,5,5,5,5
89,"C","M",11,6,6,6,6,6,6,6
90,"D","M",7,3,3,3,3,3,3,3
91,"C","M",28,10,10,10,10,10,10,10
92,"E","F",4,0,0,0,0,0,0,0
93,"B","M",5,2,2,2,2,2,2,2
94,"C","F",10,6,6,6,7,6,6,6
95,"B","F",6,4,4,4,4,4,4,4
96,"D","F",4,0,0,0,0,0,0,0
97,"D","F",4,2,2,2,2,2,2,2
98,"C","F",11,6,6,6,6,6,6,6
99,"C","M",27,10,10,9,10,10,10,10
100,"B","F",4,1,1,0,1,1,1,1
